Fecha,Importe,Categoria
2024-01-26,-46.75,servicios
2024-01-01,3.56,tecnologia
2022-01-29,-481.78,movimiento
2022-10-03,950.57,ingresos
2023-08-17,-6.4,ocio
2023-03-03,-6.59,otros
2022-09-05,-463.4,prestamo
2021-07-14,-9.11,tecnologia
2020-10-07,-5.29,compras
2024-04-29,-230.1,otros
2024-03-28,-42.5,compras
2021-12-29,-376.51,prestamo
2022-12-03,-128.85,servicios
2021-12-21,-19.48,tecnologia
2021-05-19,-4.14,amazon
2019-05-31,-3.0,salud
2024-11-06,-2.08,suscripcion
2024-05-12,-19.17,ocio
2023-05-14,-7.34,suscripcion
2024-03-13,-6.07,otros
2019-09-10,-9.14,suscripcion
2022-06-21,-5.66,transporte
2024-08-28,-0.66,transporte
2023-07-02,-632.11,vivienda
2020-12-11,0.62,compras
2023-04-07,1.19,servicios
2023-02-01,-26.17,mascota
2025-02-19,-12.56,comida_fuera
2022-08-09,-10.81,comida_fuera
2022-05-19,-24.63,bizum
2022-08-26,-3.13,otros
2024-03-01,-46.59,comida
2024-10-18,-1.8,otros
2022-07-28,-3.48,otros
2019-07-06,-14.18,salud
2024-05-19,4.98,comida
2021-04-11,-2.63,amazon
2024-06-13,-688.13,vivienda
2021-09-15,-17.08,bizum
2020-09-30,-5.01,otros
2021-12-09,-68.76,impuestos
2024-09-21,-75.69,servicios
2022-02-04,-372.54,prestamo
2024-11-27,0.18,salud
2021-01-17,-31.53,amazon
2023-07-18,-79.86,ocio
2022-10-20,-622.49,vivienda
2024-05-24,-4.25,tecnologia
2019-07-14,-10.87,comida
2021-03-18,-17.6,movimiento
2024-08-07,-6.13,salud
2022-07-18,-13.96,mascota
2023-12-08,-503.64,vivienda
2023-06-11,-533.4,vivienda
2024-07-26,-5.31,comida_fuera
2023-08-12,0.17,bizum
2019-12-05,-8.81,suscripcion
2022-10-14,-4.01,amazon
2022-11-18,-823.52,vivienda
2023-09-05,-3.61,tecnologia
2024-04-25,-57.11,otros
2020-08-10,-13.68,comida_fuera
2024-02-15,-17.0,transporte
2023-11-21,-89.72,bizum
2023-01-19,-10.67,otros
2023-05-03,-0.5,mascota
2022-08-15,-4.75,mascota
2022-11-23,-473.04,prestamo
2022-08-31,2.03,compras
2020-03-01,101.6,ingresos
2022-10-11,-6.54,transporte
2022-12-07,-372.06,vivienda
2024-09-21,-38.3,seguros
2022-04-11,-4.52,salud
2023-08-13,17.39,ingresos
2021-11-07,-0.94,otros
2021-02-07,-53.49,movimiento
2022-12-13,-23.9,servicios
2023-08-21,-139.66,viajes
2019-09-19,-16.35,movimiento
2023-01-13,-61.18,otros
2023-11-02,-11.85,compras
2022-01-20,-30.1,impuestos
2019-09-08,-598.13,movimiento
2025-02-11,-36.85,comida
2023-08-08,-220.56,otros
2024-08-10,-14.73,servicios
2019-10-10,-511.51,transporte
2023-07-14,1.72,tecnologia
2023-07-22,-16.31,servicios
2023-12-18,-4.63,tecnologia
2024-08-24,-12.25,bizum
2023-01-25,-4.55,comida_fuera
2021-08-09,-666.96,vivienda
2021-05-27,3.41,tecnologia
2019-05-31,-12.09,comida
2024-03-28,-4.69,tecnologia
2020-02-28,-31.22,transporte
2023-04-02,15.68,ingresos
2024-10-13,0.67,comida
2022-02-27,-3.21,bizum
2021-02-16,-1.88,otros
2020-05-30,-6.13,tecnologia
2020-11-26,-29.94,amazon
2023-06-25,-13.12,amazon
2021-01-25,-4.93,comida_fuera
2025-01-13,-16.6,compras
2022-03-04,-18.63,ocio
2023-10-22,-76.01,viajes
2022-12-27,4.87,mascota
2023-02-02,-7.65,otros
2023-12-23,-10.41,tecnologia
2020-02-04,-10.96,transporte
2024-12-29,-12.16,salud
2024-11-20,16.61,bizum
2022-05-16,-345.3,impuestos
2022-01-25,-8.3,transporte
2022-02-13,-41.24,movimiento
2022-04-26,0.36,transporte
2023-11-19,-13.15,viajes
2023-12-02,-1.31,tecnologia
2022-04-13,-140.85,transporte
2024-10-25,44.09,seguros
2024-05-25,-12.66,amazon
2022-11-14,-5.67,comida
2024-08-24,-57.91,salud
2023-09-24,-0.61,otros
2022-11-06,-6.44,transporte
2022-12-29,-8.92,viajes
2024-02-07,-1498.54,movimiento
2024-08-24,1.54,compras
2022-09-27,2.42,mascota
2022-06-11,-1.69,tecnologia
2023-07-01,3.67,otros
2021-11-10,119.54,ingresos
2023-03-03,-40.15,suscripcion
2024-06-09,-176.82,bizum
2021-11-10,-42.67,comida
2021-07-19,-446.68,prestamo
2019-10-29,-7.26,movimiento
2020-07-17,-82.83,servicios
2024-01-01,-2.77,comida
2023-04-10,-47.81,comida_fuera
2024-05-26,-4.73,mascota
2021-03-04,1998.78,ingresos
2019-06-13,-11.19,suscripcion
2019-09-27,-117.59,tecnologia
2025-02-28,0.0,tecnologia
2023-03-30,-138.33,impuestos
2020-08-15,-34.41,servicios
2020-05-04,-108.97,movimiento
2022-11-13,131.26,ingresos
2020-12-01,-541.58,otros
2024-07-07,0.25,bizum
2021-05-26,-14.68,prestamo
2023-09-21,0.58,salud
2022-11-16,0.16,amazon
2024-06-24,-0.34,mascota
2024-09-24,2.61,salud
2024-11-21,-12.23,servicios
2022-02-27,-165.09,mascota
2022-07-20,1480.49,otros
2021-11-22,-15.84,comida_fuera
2025-02-28,109.42,ingresos
2022-08-20,-5.61,tecnologia
2022-12-25,-0.64,transporte
2022-04-30,-38.89,compras
2021-12-14,2.64,compras
2024-07-11,-88.19,comida
2024-06-11,-6.42,mascota
2020-10-04,-93.58,impuestos
2022-07-19,0.88,comida
2023-04-26,-4.99,comida
2023-09-08,-43.08,tecnologia
2020-12-07,-8.34,movimiento
2021-05-10,-8.1,amazon
2023-07-13,0.39,mascota
2023-05-11,-387.3,movimiento
2024-07-11,-106.72,servicios
2024-09-05,-7.47,suscripcion
2024-06-26,-2.28,movimiento
2024-07-16,124.5,ingresos
2021-01-11,-98.71,amazon
2024-03-24,141.68,ingresos
2021-08-08,-2.51,viajes
2023-06-23,-645.89,vivienda
2021-04-28,-205.28,ingresos
2022-06-29,-7.1,ocio
2022-10-08,937.59,ingresos
2023-05-25,-10.4,salud
2022-08-11,-1.79,amazon
2019-06-20,-4.34,transporte
2022-10-29,-609.94,prestamo
2024-06-11,-7.45,transporte
2024-09-09,743.13,ingresos
2024-12-11,-16.06,comida
2023-03-03,-11.4,comida
2023-05-29,496.55,ingresos
2023-01-27,-1.69,comida
2024-11-09,-26.25,bizum
2024-07-21,107.81,ingresos
2022-11-18,4.4,compras
2023-11-01,-27.89,suscripcion
2023-05-21,-6.64,salud
2024-06-28,-3.32,mascota
2019-07-26,-8.35,ocio
2022-06-29,183.4,ingresos
2022-05-14,-0.42,transporte
2021-12-01,-1.05,otros
2022-09-20,-1.78,viajes
2020-12-01,-141.6,movimiento
2023-09-23,3.39,deporte
2022-08-18,-13.4,transporte
2024-01-05,45.86,tecnologia
2021-03-31,-139.49,bizum
2022-05-20,-61.62,impuestos
2022-12-24,0.94,transporte
2024-01-08,-36.18,transporte
2024-10-31,24.88,seguros
2023-07-11,-3.47,amazon
2024-06-29,-18.16,mascota
2024-03-25,21.15,mascota
2024-08-10,1.41,comida
2022-10-31,-12.81,mascota
2023-07-02,-2.58,comida
2019-12-19,-6.26,ocio
2022-06-29,-386.42,seguros
2024-12-17,-139.61,impuestos
2024-05-24,0.05,viajes
2023-01-04,-553.1,movimiento
2024-08-14,0.41,tecnologia
2021-02-09,-14.3,comida_fuera
2023-09-07,-9.31,salud
2020-02-17,-52.27,movimiento
2023-01-04,-11.42,comida
2023-02-16,-54.22,bizum
2019-10-25,-6.67,salud
2024-01-11,-19.77,mascota
2022-07-23,647.42,ingresos
2020-02-21,-158.87,movimiento
2020-08-22,-59.13,suscripcion
2024-10-28,-2.16,salud
2022-11-20,-1.14,tecnologia
2021-11-08,-9.17,transporte
2022-06-18,-5.51,otros
2021-12-19,0.71,otros
2020-10-08,-6.18,comida
2023-02-23,0.47,compras
2021-04-18,-0.53,viajes
2021-06-30,-11.68,comida_fuera
2024-08-16,785.01,ingresos
2019-12-28,-18.74,otros
2024-07-09,-6.95,suscripcion
2021-05-24,-40.48,comida
2022-07-28,2.37,amazon
2022-08-04,-26.57,impuestos
2021-09-27,-19.77,servicios
2021-09-16,-646.8,prestamo
2020-05-22,-3.81,amazon
2023-04-21,2.79,suscripcion
2023-12-05,-447.73,otros
2020-01-22,-105.02,bizum
2023-10-16,-3.1,salud
2024-07-13,-10.36,comida_fuera
2022-12-04,-96.82,ingresos
2021-04-06,-12.56,suscripcion
2021-01-05,-15.34,otros
2022-10-01,-55.94,impuestos
2023-06-14,79.07,ingresos
2023-02-15,-103.65,otros
2022-02-28,-11.53,comida_fuera
2022-05-23,-2.32,comida_fuera
2021-01-01,-6.41,suscripcion
2023-01-13,-11.79,comida
2019-05-31,-4.91,comida
2024-01-15,-0.69,comida
2019-11-13,-9.0,comida_fuera
2022-05-07,-342.75,prestamo
2020-07-21,2.41,compras
2023-04-07,502.72,ingresos
2019-09-21,-14.46,ocio
2024-08-06,-5.23,suscripcion
2020-05-26,-5.53,compras
2023-01-30,-3.81,transporte
2023-06-09,646.98,ingresos
2023-03-02,-0.54,deporte
2022-07-20,-33.08,compras
2023-11-07,-2.21,tecnologia
2021-07-22,-22.72,compras
2024-01-10,-97.95,impuestos
2022-10-20,1.18,salud
2024-03-07,-23.78,comida
2021-03-18,-13.45,amazon
2021-05-14,-83.98,viajes
2024-03-11,-145.93,servicios
2023-04-23,-67.35,bizum
2023-08-03,-15.66,comida_fuera
2022-05-25,-26.28,comida
2022-09-07,-2.98,comida
2020-05-16,-5.34,comida_fuera
2025-02-15,-12.09,viajes
2021-10-30,-732.78,prestamo
2019-10-27,-6.84,comida_fuera
2020-11-25,-70.34,bizum
2019-07-02,-11.55,viajes
2023-05-21,-12.71,servicios
2022-03-30,-0.2,comida_fuera
2023-01-28,-2.08,comida
2022-11-08,-8.85,amazon
2024-03-05,-101.05,ingresos
2022-12-13,2.01,tecnologia
2023-06-26,2.42,comida
2024-08-18,-646.77,transporte
2023-02-15,-73.34,comida_fuera
2023-11-04,-891.41,vivienda
2021-05-29,-325.92,otros
2023-05-14,1.84,compras
2023-01-25,-4.68,otros
2020-08-17,-5.22,bizum
2020-12-27,-7.76,comida_fuera
2023-10-04,-3.72,transporte
2024-12-06,-8.77,bizum
2020-06-17,-587.41,ocio
2024-03-09,9.52,tecnologia
2021-02-01,-19.91,otros
2019-10-29,-15.69,seguros
2019-10-19,-57.47,transporte
2021-02-10,-642.98,vivienda
2023-10-28,-4.15,amazon
2020-05-05,-18.34,compras
2021-11-25,-31.83,servicios
2019-05-31,-21.28,compras
2023-12-22,-720.96,vivienda
2019-08-17,670.05,ingresos
2019-11-16,-848.69,vivienda
2020-08-20,-41.6,servicios
2024-01-22,-4.87,viajes
2022-02-02,-120.17,impuestos
2022-11-13,-137.71,impuestos
2024-05-03,-53.25,bizum
2024-08-09,-4.76,tecnologia
2020-06-01,-800.11,prestamo
2021-02-13,-580.9,movimiento
2022-09-07,-5.48,comida
2022-11-07,553.1,ingresos
2023-02-11,-5.09,comida_fuera
2021-05-21,-15.58,comida_fuera
2024-02-05,-8.29,viajes
2024-06-16,-1.25,mascota
2022-10-10,-3.53,compras
2023-12-14,-11.83,ocio
2025-02-28,77.24,ingresos
2023-11-14,-53.23,transporte
2024-01-01,-9.02,impuestos
2022-10-27,-60.63,movimiento
2024-05-25,-10.46,transporte
2024-12-21,-0.95,mascota
2022-11-04,-0.93,mascota
2020-04-11,-5.36,compras
2022-04-25,-508.69,vivienda
2024-05-29,-1.97,comida
2020-12-10,8.15,salud
2023-04-12,3.25,amazon
2021-03-29,-3.9,comida
2019-05-31,-658.37,ocio
2024-01-03,41.25,seguros
2021-04-16,-1155.16,movimiento
2023-02-14,-8.34,impuestos
2022-10-03,-511.42,movimiento
2024-10-20,-516.68,vivienda
2022-03-27,392.51,ingresos
2020-01-18,-10.12,comida
2022-04-29,-12.0,deporte
2020-04-27,-13.54,comida_fuera
2024-01-16,-7.72,suscripcion
2019-10-13,-12.22,compras
2025-02-14,-13.84,bizum
2024-08-15,-53.08,mascota
2024-02-29,-4.57,comida
2023-12-12,-2.22,deporte
2024-04-10,-31.16,impuestos
2022-05-22,-7.8,amazon
2019-12-28,-4.54,viajes
2024-05-16,-794.82,vivienda
2024-04-01,-10.57,comida
2024-07-26,-10.7,suscripcion
2022-09-23,-2.66,compras
2023-09-17,-2.84,transporte
2021-03-08,-8.26,comida
2021-01-06,-5.03,salud
2024-11-26,-36.23,mascota
2020-02-21,-11.01,comida_fuera
2023-11-13,6.91,transporte
2024-05-07,-2.72,comida
2020-05-20,-11.33,comida_fuera
2019-09-20,-5.11,viajes
2020-07-06,-11.84,movimiento
2020-12-18,-50.92,compras
2023-10-16,-4.05,comida
2024-04-13,-37.85,movimiento
2022-10-18,-340.12,prestamo
2022-07-29,-7.22,transporte
2019-06-11,-351.23,movimiento
2021-07-17,132.87,ingresos
2022-11-17,-2.63,comida_fuera
2021-08-31,1.05,salud
2024-09-09,-1.17,comida
2024-09-23,-55.69,servicios
2020-04-28,-14.01,suscripcion
2024-07-29,-17.83,impuestos
2024-10-30,-88.58,servicios
2021-11-30,-217.92,prestamo
2021-09-25,-2.0,otros
2022-02-03,-10.59,comida_fuera
2023-03-22,2.94,salud
2019-11-05,-117.06,servicios
2024-02-14,13.31,mascota
2024-08-01,-38.69,mascota
2021-06-24,3.05,suscripcion
2019-10-16,94.2,ingresos
2019-11-03,-16.36,comida
2023-03-08,3.21,mascota
2023-08-09,-5.57,comida
2024-03-12,-39.31,mascota
2024-08-16,0.15,mascota
2020-10-21,-18.85,servicios
2023-07-06,-67.03,servicios
2019-12-28,-15.38,viajes
2021-06-23,-42.55,impuestos
2021-11-05,-295.87,movimiento
2021-11-09,-8.37,comida_fuera
2022-06-06,-116.26,amazon
2023-05-13,2.54,comida
2019-05-31,-722.53,prestamo
2024-06-20,-7.62,ocio
2024-08-25,-2.6,compras
2020-10-03,-8.44,salud
2021-08-27,-28.56,bizum
2023-11-02,-102.39,servicios
2024-12-25,-5.51,suscripcion
2022-03-01,-4.34,amazon
2020-11-10,-99.65,movimiento
2023-02-20,-57.25,movimiento
2019-10-18,-6.23,servicios
2022-02-08,-82.24,movimiento
2022-03-08,414.24,ingresos
2021-03-25,-421.09,movimiento
2022-08-08,-468.49,ocio
2024-09-11,-111.59,servicios
2023-03-22,-78.54,suscripcion
2024-07-01,-53.66,mascota
2024-09-09,-8.61,suscripcion
2022-08-10,-699.54,vivienda
2022-04-22,-73.64,movimiento
2024-03-06,-26.1,movimiento
2023-07-30,-11.45,amazon
2019-08-16,-11.92,comida_fuera
2023-12-16,-14.75,otros
2020-02-19,-13.81,comida_fuera
2023-07-21,4.77,salud
2024-11-21,-13.6,mascota
2020-06-30,796.2,ingresos
2023-12-24,-2.0,comida
2023-11-28,-9.56,suscripcion
2020-06-14,-200.44,movimiento
2019-11-25,-98.91,servicios
2019-12-13,-11.66,comida
2024-06-15,38.54,seguros
2022-07-17,-9.0,salud
2024-06-14,6.01,transporte
2019-12-11,-11.83,transporte
2020-09-02,-155.43,tecnologi­a
2020-11-10,-395.15,prestamo
2020-03-01,-2.68,seguros
2021-12-03,-1.16,suscripcion
2023-07-23,-17.94,mascota
2021-07-20,-16.19,servicios
2022-06-18,1.31,tecnologia
2021-07-22,-10.11,impuestos
2020-01-26,-72.74,salud
2021-09-05,-9.14,bizum
2023-01-16,-1.49,tecnologia
2023-05-20,-7.1,mascota
2019-07-14,-7.05,comida_fuera
2020-08-31,-327.5,movimiento
2023-11-29,-2.34,salud
2023-04-10,0.01,transporte
2022-08-09,-3.15,comida
2021-03-26,-830.64,vivienda
2024-05-18,-7.58,comida_fuera
2021-04-18,-5.85,compras
2023-12-29,-35.12,movimiento
2022-08-10,-46.29,otros
2021-11-10,-361.54,servicios
2024-02-16,8.62,transporte
2021-06-16,-4.65,transporte
2024-12-01,-6.76,comida
2023-07-19,8.32,seguros
2024-09-09,-185.65,mascota
2022-04-05,-15.0,servicios
2024-08-07,-7.23,viajes
2022-09-25,-14.0,viajes
2020-06-24,-35.67,movimiento
2023-12-28,-38.26,mascota
2024-03-15,-7.42,otros
2022-12-07,-7.16,servicios
2020-05-27,-10.0,viajes
2022-05-07,-115.41,seguros
2024-09-22,-169.02,seguros
2021-09-24,-406.58,otros
2024-10-20,2.7,comida
2022-09-29,-625.71,prestamo
2024-07-08,-39.2,servicios
2021-04-30,-8.5,suscripcion
2021-01-01,-6.88,compras
2023-03-22,-9.0,viajes
2023-08-29,-7.21,suscripcion
2023-06-04,-1.57,otros
2020-05-15,-10.1,suscripcion
2020-07-31,-1.49,comida
2021-12-12,-9.76,comida_fuera
2023-08-27,-6.3,viajes
2024-09-18,77.62,ingresos
2022-11-15,-0.34,bizum
2024-09-22,-2.86,transporte
2020-07-10,-34.29,comida_fuera
2023-03-24,-3.03,comida
2021-05-27,-21.73,compras
2019-11-08,-52.57,movimiento
2024-06-25,-14.79,impuestos
2025-01-20,-11.6,tecnologia
2023-12-29,-23.89,suscripcion
2019-10-02,-256.86,movimiento
2022-06-16,-6.49,salud
2022-10-24,0.58,compras
2020-08-15,-35.28,bizum
2022-02-01,-66.8,comida_fuera
2024-08-06,-6.66,suscripcion
2022-09-14,-8.41,suscripcion
2024-12-06,-1.96,tecnologia
2023-11-25,-41.97,compras
2023-08-02,-62.53,impuestos
2022-08-08,-2.26,viajes
2022-02-12,0.08,tecnologia
2023-07-05,-174.05,ingresos
2021-10-23,-4.14,suscripcion
2020-11-18,1691.73,ingresos
2021-05-05,-857.9,prestamo
2023-10-20,-0.36,compras
2024-12-28,0.1,transporte
2023-10-07,-7.39,otros
2023-03-06,-2.08,comida
2021-11-04,-572.44,prestamo
2024-01-24,-15.1,tecnologia
2023-07-12,-530.25,servicios
2023-10-29,-11.38,suscripcion
2023-07-02,2342.03,ingresos
2022-07-29,-8.03,viajes
2021-08-19,2243.91,ingresos
2023-04-26,-52.16,suscripcion
2024-06-23,-0.53,comida_fuera
2022-11-08,-7.83,transporte
2022-08-18,15.36,ingresos
2023-05-12,-591.0,vivienda
2023-10-12,-73.47,otros
2022-12-02,-405.38,vivienda
2024-01-26,-8.13,comida_fuera
2021-12-31,-7.51,amazon
2021-12-09,-0.86,compras
2023-06-04,-4.41,comida
2023-09-18,-5.95,comida
2021-04-16,-88.31,otros
2022-03-11,-8.27,amazon
2024-03-30,-2.63,tecnologia
2021-08-09,-52.3,transporte
2021-04-07,-4.6,comida_fuera
2019-10-02,-10.84,compras
2023-05-05,0.01,comida
2020-03-06,-85.14,otros
2022-09-19,-7.89,amazon
2024-08-11,-15.13,suscripcion
2022-10-23,-42.98,bizum
2023-09-02,-46.63,amazon
2024-08-31,-4.54,amazon
2023-07-31,-21.92,compras
2021-03-09,-20.79,servicios
2019-12-21,-6.81,ocio
2024-08-06,-6.24,comida_fuera
2021-02-02,-43.22,movimiento
2024-08-28,-1.45,comida
2024-11-04,-7.61,salud
2021-07-13,-0.65,transporte
2023-09-01,-729.83,vivienda
2022-07-01,-2.24,salud
2022-09-05,-16.91,ocio
2019-06-13,-10.37,mascota
2021-04-26,-6.2,comida_fuera
2022-12-11,0.38,deporte
2024-02-08,-2.53,viajes
2019-10-08,-3.09,transporte
2024-01-19,-2.46,comida_fuera
2023-01-28,-91.36,servicios
2024-08-12,0.33,tecnologia
2022-03-14,-157.17,movimiento
2023-07-28,-320.43,bizum
2019-08-22,-6.32,transporte
2022-09-17,-1.77,transporte
2024-04-23,-6.15,viajes
2022-06-08,-8.03,servicios
2022-05-01,-13.1,suscripcion
2021-05-17,-53.1,bizum
2024-02-19,-4.94,mascota
2025-02-28,-8.91,transporte
2023-04-14,-402.01,prestamo
2020-10-22,-774.22,vivienda
2023-01-20,3.69,impuestos
2024-06-02,-5.63,suscripcion
2023-08-28,-4.93,viajes
2019-05-31,-12.38,suscripcion
2022-11-24,-511.31,prestamo
2019-05-31,-4.34,salud
2023-10-11,-5.7,bizum
2023-04-18,-6.27,servicios
2019-11-06,-579.55,movimiento
2021-02-27,2.26,comida_fuera
2022-06-20,0.95,comida
2022-12-16,-10.18,tecnologia
2024-04-21,-6.67,comida
2023-09-18,-6.32,tecnologia
2023-08-31,138.7,ingresos
2024-09-15,0.61,viajes
2021-12-14,140.11,ingresos
2019-11-17,-10.19,compras
2025-01-05,-416.29,vivienda
2024-07-28,-2.45,tecnologia
2024-01-01,-15.62,ocio
2023-05-24,-10.56,tecnologia
2024-05-31,22.07,ingresos
2023-01-15,-367.2,compras
2022-06-21,-18.81,suscripcion
2022-07-08,-211.18,prestamo
2023-08-10,1.81,comida_fuera
2022-06-03,-63.66,servicios
2024-10-22,-11.11,comida_fuera
2022-07-31,-183.79,otros
2024-06-23,-26.97,compras
2022-07-19,-5.98,salud
2020-07-08,-138.04,otros
2023-04-06,-12.37,comida_fuera
2025-02-28,-8.19,viajes
2022-09-23,-8.98,ocio
2024-10-18,-17.35,comida_fuera
2021-02-06,-18.1,otros
2024-06-13,-9.11,viajes
2021-02-20,-61.88,servicios
2024-05-03,-521.51,impuestos
2024-03-18,-4.71,ocio
2025-02-28,-59.91,salud
2019-09-08,-9.18,ocio
2024-05-21,-8.06,comida
2023-09-22,-59.96,mascota
2021-08-04,-11.7,suscripcion
2023-12-08,-1.28,tecnologia
2021-08-12,-1.19,compras
2024-04-09,-116.28,impuestos
2024-10-31,-5.06,transporte
2023-07-23,-67.11,otros
2020-08-18,0.6,compras
2024-02-24,3.42,comida
2022-10-30,-318.33,vivienda
2021-04-22,-0.12,compras
2019-06-04,-15.23,comida_fuera
2019-10-23,-167.5,tecnologi­a
2021-08-17,-10.4,comida_fuera
2022-05-14,-7.62,movimiento
2020-08-13,-161.67,movimiento
2020-03-19,-4.31,suscripcion
2022-07-12,-0.53,comida_fuera
2022-09-24,-4.44,tecnologia
2022-06-12,-19.0,ocio
2023-06-13,-17.29,comida_fuera
2024-03-18,-677.69,vivienda
2022-02-16,7.26,salud
2022-01-15,-3.83,otros
2020-08-06,-18.17,amazon
2022-09-25,4.85,compras
2020-04-30,-169.62,tecnologi­a
2022-04-03,-653.33,prestamo
2024-01-10,-47.93,servicios
2022-07-15,-370.31,prestamo
2022-02-17,-17.18,transporte
2021-01-01,-13.68,comida_fuera
2024-09-15,65.51,ingresos
2019-10-20,-4.82,salud
2024-04-13,4.32,compras
2023-09-18,-152.65,impuestos
2023-10-03,60.75,ingresos
2023-10-24,0.55,tecnologia
2024-06-27,-0.26,comida
2020-09-30,-11.35,amazon
2024-03-25,-64.77,mascota
2020-05-11,-3.99,transporte
2019-08-02,-12.2,viajes
2020-05-02,-208.2,tecnologi­a
2021-06-21,-586.38,movimiento
2020-09-21,-540.08,prestamo
2023-08-31,-120.53,amazon
2021-03-06,-7.53,salud
2025-01-18,-51.79,impuestos
2025-02-28,4.93,tecnologia
2019-12-11,102.9,ingresos
2023-01-15,2.32,tecnologia
2023-08-15,-27.95,mascota
2024-05-06,-77.0,impuestos
2021-05-05,-61.3,otros
2020-04-20,-8.52,suscripcion
2024-02-14,-17.91,otros
2024-11-16,-529.83,vivienda
2023-04-05,-31.09,otros
2021-10-24,-0.97,otros
2022-11-20,-5.26,transporte
2022-04-13,-12.66,suscripcion
2020-12-29,893.62,ingresos
2021-03-31,-14.0,amazon
2019-05-31,-11.25,transporte
2021-11-03,-540.29,vivienda
2023-09-10,-4.29,amazon
2023-06-01,-15.67,transporte
2022-03-16,-69.14,movimiento
2024-04-14,3.81,ocio
2021-04-03,-3.39,salud
2023-09-06,-3.7,bizum
2019-09-03,-65.48,transporte
2024-02-23,-67.87,seguros
2025-02-28,-105.84,bizum
2024-04-02,-0.78,viajes
2024-04-15,-11.82,ocio
2024-10-23,74.71,ingresos
2021-03-04,-480.48,movimiento
2024-06-11,-7.76,ocio
2021-09-05,-3.61,tecnologia
2020-03-08,-3.08,compras
2023-05-14,5.5,mascota
2023-08-01,-276.14,prestamo
2023-12-25,-47.59,comida_fuera
2024-10-29,-67.19,impuestos
2019-10-20,-11.52,ocio
2023-06-14,15.5,ingresos
2019-12-19,-10.77,ocio
2024-01-21,-0.45,tecnologia
2021-01-06,-4.23,comida_fuera
2022-11-13,-5.97,salud
2023-03-01,-10.13,amazon
2024-05-23,-6.4,comida
2024-07-16,0.13,viajes
2021-03-07,-2.52,suscripcion
2024-07-31,-2.55,comida
2019-11-22,-219.7,tecnologi­a
2020-11-23,-5.86,movimiento
2024-04-02,-571.53,impuestos
2022-06-29,-381.51,prestamo
2024-08-03,2.72,tecnologia
2024-03-13,-12.64,amazon
2019-11-28,-113.04,servicios
2020-11-19,-679.25,vivienda
2022-05-25,-34.45,bizum
2022-01-06,1102.78,ingresos
2019-06-29,-4.72,compras
2024-01-19,-8.33,salud
2022-03-18,-21.91,prestamo
2020-12-09,-13.33,comida_fuera
2024-01-05,-715.51,vivienda
2024-02-10,3.92,ingresos
2022-02-11,2.02,compras
2023-06-30,-4.13,comida_fuera
2023-08-06,-7.87,comida
2020-01-28,-11.89,salud
2022-03-26,-247.67,bizum
2024-10-20,-4.95,comida_fuera
2021-04-11,-8.94,amazon
2021-08-31,2.07,viajes
